"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 16 12:51:08 GMT 2022","Sat Jul 16 12:51:08 GMT 2022","242","Отправляем сетевые запросы","","","","","Не получить список задач с некорреткного эндпоинта get /todo",""
"passed","Sat Jul 16 12:51:09 GMT 2022","Sat Jul 16 12:51:10 GMT 2022","275","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO `/todos` 201",""
"passed","Sat Jul 16 12:51:07 GMT 2022","Sat Jul 16 12:51:08 GMT 2022","386","Отправляем сетевые запросы","","","","","Получить список заданий get /challenges",""
"passed","Sat Jul 16 12:51:08 GMT 2022","Sat Jul 16 12:51:09 GMT 2022","640","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos/{id}` 200",""
"passed","Sat Jul 16 12:51:10 GMT 2022","Sat Jul 16 12:51:10 GMT 2022","514","Отправляем сетевые запросы","","","","","Выполнить POST запрос на обновление TODO `/todos/{id}` 200",""
"passed","Sat Jul 16 12:51:10 GMT 2022","Sat Jul 16 12:51:11 GMT 2022","304","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` с фильтром запроса для вывода задач в статусе сделаны 200",""
"passed","Sat Jul 16 12:51:08 GMT 2022","Sat Jul 16 12:51:08 GMT 2022","400","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` 200",""
"passed","Sat Jul 16 12:51:10 GMT 2022","Sat Jul 16 12:51:10 GMT 2022","239","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO, не пройти проверку в поле doneStatus `/todos` 400",""
"passed","Sat Jul 16 12:51:09 GMT 2022","Sat Jul 16 12:51:09 GMT 2022","269","Отправляем сетевые запросы","","","","","Выполнить HEAD запрос на `/todos` 200",""
"passed","Sat Jul 16 12:51:09 GMT 2022","Sat Jul 16 12:51:09 GMT 2022","260","Отправляем сетевые запросы","","","","","Просмотреть несуществующую задачу get /todo/{id} 404",""
