"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 09 14:31:00 GMT 2022","Fri Sep 09 14:31:00 GMT 2022","256","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO `/todos` 201",""
"passed","Fri Sep 09 14:31:05 GMT 2022","Fri Sep 09 14:31:05 GMT 2022","209","Отправляем сетевые запросы","","","","","TRACE /heartbeat (501)",""
"passed","Fri Sep 09 14:30:58 GMT 2022","Fri Sep 09 14:30:59 GMT 2022","283","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` 200",""
"passed","Fri Sep 09 14:31:03 GMT 2022","Fri Sep 09 14:31:04 GMT 2022","252","Отправляем сетевые запросы","","","","","GET /todos (406)",""
"passed","Fri Sep 09 14:31:00 GMT 2022","Fri Sep 09 14:31:00 GMT 2022","254","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO, не пройти проверку в поле doneStatus `/todos` 400",""
"passed","Fri Sep 09 14:30:59 GMT 2022","Fri Sep 09 14:30:59 GMT 2022","483","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos/{id}` 200",""
"passed","Fri Sep 09 14:30:59 GMT 2022","Fri Sep 09 14:30:59 GMT 2022","212","Отправляем сетевые запросы","","","","","Не получить список задач с некорреткного эндпоинта get /todo",""
"passed","Fri Sep 09 14:31:08 GMT 2022","Fri Sep 09 14:31:08 GMT 2022","452","Отправляем сетевые запросы","","","","","GET /secret/note (Bearer)",""
"passed","Fri Sep 09 14:31:04 GMT 2022","Fri Sep 09 14:31:04 GMT 2022","267","Отправляем сетевые запросы","","","","","POST /todos XML",""
"passed","Fri Sep 09 14:31:05 GMT 2022","Fri Sep 09 14:31:06 GMT 2022","223","Отправляем сетевые запросы","","","","","POST /secret/token (401)",""
"passed","Fri Sep 09 14:31:01 GMT 2022","Fri Sep 09 14:31:02 GMT 2022","497","Отправляем сетевые запросы","","","","","Выполнить DELETE запрос на `/todos`",""
"passed","Fri Sep 09 14:31:06 GMT 2022","Fri Sep 09 14:31:07 GMT 2022","466","Отправляем сетевые запросы","","","","","GET /secret/note (200)",""
"passed","Fri Sep 09 14:31:03 GMT 2022","Fri Sep 09 14:31:03 GMT 2022","327","Отправляем сетевые запросы","","","","","GET /todos (200) XML pref",""
"passed","Fri Sep 09 14:31:07 GMT 2022","Fri Sep 09 14:31:08 GMT 2022","213","Отправляем сетевые запросы","","","","","POST /secret/note (403)",""
"passed","Fri Sep 09 14:31:07 GMT 2022","Fri Sep 09 14:31:07 GMT 2022","248","Отправляем сетевые запросы","","","","","POST /secret/note (401)",""
"passed","Fri Sep 09 14:31:08 GMT 2022","Fri Sep 09 14:31:08 GMT 2022","417","Отправляем сетевые запросы","","","","","POST /secret/note (Bearer)",""
"passed","Fri Sep 09 14:30:58 GMT 2022","Fri Sep 09 14:30:58 GMT 2022","336","Отправляем сетевые запросы","","","","","Получить список заданий get /challenges",""
"passed","Fri Sep 09 14:31:06 GMT 2022","Fri Sep 09 14:31:06 GMT 2022","227","Отправляем сетевые запросы","","","","","POST /secret/token (201)",""
"passed","Fri Sep 09 14:31:00 GMT 2022","Fri Sep 09 14:31:00 GMT 2022","239","Отправляем сетевые запросы","","","","","Выполнить HEAD запрос на `/todos` 200",""
"passed","Fri Sep 09 14:31:04 GMT 2022","Fri Sep 09 14:31:04 GMT 2022","251","Отправляем сетевые запросы","","","","","POST /todos JSON to XML",""
"passed","Fri Sep 09 14:31:05 GMT 2022","Fri Sep 09 14:31:05 GMT 2022","209","Отправляем сетевые запросы","","","","","PATCH /heartbeat (500)",""
"passed","Fri Sep 09 14:31:08 GMT 2022","Fri Sep 09 14:31:09 GMT 2022","639","Отправляем сетевые запросы","","","","","DELETE /todos/{id} (200) all",""
"passed","Fri Sep 09 14:31:04 GMT 2022","Fri Sep 09 14:31:05 GMT 2022","208","Отправляем сетевые запросы","","","","","DELETE /heartbeat (405)",""
"passed","Fri Sep 09 14:31:04 GMT 2022","Fri Sep 09 14:31:04 GMT 2022","204","Отправляем сетевые запросы","","","","","POST /todos (415)",""
"passed","Fri Sep 09 14:31:05 GMT 2022","Fri Sep 09 14:31:05 GMT 2022","231","Отправляем сетевые запросы","","","","","GET /heartbeat (204)",""
"passed","Fri Sep 09 14:31:06 GMT 2022","Fri Sep 09 14:31:06 GMT 2022","210","Отправляем сетевые запросы","","","","","GET /secret/note (403)",""
"passed","Fri Sep 09 14:31:03 GMT 2022","Fri Sep 09 14:31:03 GMT 2022","264","Отправляем сетевые запросы","","","","","GET /todos (200) no accept",""
"passed","Fri Sep 09 14:31:02 GMT 2022","Fri Sep 09 14:31:02 GMT 2022","222","Отправляем сетевые запросы","","","","","Выполнить OPTIONS запрос на `/todos`",""
"passed","Fri Sep 09 14:31:02 GMT 2022","Fri Sep 09 14:31:03 GMT 2022","287","Отправляем сетевые запросы","","","","","GET /todos (200) ANY",""
"passed","Fri Sep 09 14:31:00 GMT 2022","Fri Sep 09 14:31:01 GMT 2022","550","Отправляем сетевые запросы","","","","","Выполнить POST запрос на обновление TODO `/todos/{id}` 200",""
"passed","Fri Sep 09 14:31:01 GMT 2022","Fri Sep 09 14:31:01 GMT 2022","211","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` с фильтром запроса для вывода задач в статусе сделаны 200",""
"passed","Fri Sep 09 14:30:59 GMT 2022","Fri Sep 09 14:31:00 GMT 2022","211","Отправляем сетевые запросы","","","","","Просмотреть несуществующую задачу get /todo/{id} 404",""
"passed","Fri Sep 09 14:31:06 GMT 2022","Fri Sep 09 14:31:06 GMT 2022","234","Отправляем сетевые запросы","","","","","GET /secret/note (401)",""
"passed","Fri Sep 09 14:31:07 GMT 2022","Fri Sep 09 14:31:07 GMT 2022","426","Отправляем сетевые запросы","","","","","POST /secret/note (200)",""
"passed","Fri Sep 09 14:31:02 GMT 2022","Fri Sep 09 14:31:02 GMT 2022","291","Отправляем сетевые запросы","","","","","GET /todos (200) XML",""
"passed","Fri Sep 09 14:31:04 GMT 2022","Fri Sep 09 14:31:04 GMT 2022","265","Отправляем сетевые запросы","","","","","POST /todos XML to JSON",""
"passed","Fri Sep 09 14:31:02 GMT 2022","Fri Sep 09 14:31:02 GMT 2022","267","Отправляем сетевые запросы","","","","","GET /todos (200) JSON",""
