"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","133","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` 200",""
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","70","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO, не пройти проверку в поле doneStatus `/todos` 400",""
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","68","Отправляем сетевые запросы","","","","","Просмотреть несуществующую задачу get /todo/{id} 404",""
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","193","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos/{id}` 200",""
"passed","Sun Jul 24 11:10:39 GMT 2022","Sun Jul 24 11:10:39 GMT 2022","67","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` с фильтром запроса для вывода задач в статусе сделаны 200",""
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","85","Отправляем сетевые запросы","","","","","Не получить список задач с некорреткного эндпоинта get /todo",""
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","116","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO `/todos` 201",""
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:39 GMT 2022","210","Отправляем сетевые запросы","","","","","Выполнить POST запрос на обновление TODO `/todos/{id}` 200",""
"passed","Sun Jul 24 11:10:37 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","139","Отправляем сетевые запросы","","","","","Получить список заданий get /challenges",""
"passed","Sun Jul 24 11:10:38 GMT 2022","Sun Jul 24 11:10:38 GMT 2022","77","Отправляем сетевые запросы","","","","","Выполнить HEAD запрос на `/todos` 200",""
